movie_name,release_year,certificate,duration,genre,star,metascore,votes
 The Promised Neverland,2019–2021,TV-14,23 min,"Animation, Adventure, Drama",6.2,nil,800
Sailor Moon Eternal,2021,TV-14,160 min,"Animation, Action, Adventure",7.2,nil,798
 Snowpiercer,2020– ,TV-MA,48 min,"Action, Drama, Sci-Fi",7.9,nil,797
 American Gods,2017–2021,TV-MA,51 min,"Drama, Fantasy, Mystery",6.3,nil,796
Topi,2021,not rated,60 min,"Drama, Thriller",6.8,nil,795
Kisah untuk Geri,2021,not rated,nil,"Drama, Romance",9.6,nil,794
Security,2021,TV-MA,118 min,Thriller,4.8,nil,793
 Superman and Lois,2021– ,TV-PG,nil,"Action, Adventure, Drama",9.4,nil,792
 Snowpiercer,2020– ,TV-MA,47 min,"Action, Drama, Sci-Fi",7.2,nil,792
Chernobyl: Abyss,2021,not rated,136 min,"Comedy, Drama, History",4.4,nil,792
 This Is Us,2016–2022,TV-14,43 min,"Comedy, Drama, Romance",8.2,nil,791
 The Stand,2020–2021,TV-PG,49 min,"Adventure, Drama, Fantasy",6.4,nil,787
Ishk Par Zor Nahin,2021– ,not rated,nil,Drama,9.0,nil,787
 Superman and Lois,2021– ,TV-PG,nil,"Action, Adventure, Drama",8.8,nil,787
 The Flash,2014– ,TV-PG,42 min,"Action, Adventure, Drama",6.0,nil,783
 Sweet Tooth,2021– ,TV-14,nil,"Action, Adventure, Drama",7.9,nil,783
Kamali from Nadukkaveri,2021,not rated,147 min,Drama,7.7,nil,781
Stanley Tucci: Searching for Italy,2021– ,Not Rated,60 min,"Documentary, Reality-TV",8.7,nil,781
 Tandav,2021– ,TV-14,29 min,"Drama, Thriller",4.7,nil,780
Firebird,2021,not rated,107 min,"Drama, Romance",7.9,nil,778
 Castlevania,2017–2021,TV-MA,28 min,"Animation, Action, Adventure",8.3,nil,778
 The Blacklist,2013– ,TV-14,43 min,"Crime, Drama, Mystery",6.4,nil,778
Contract,2021– ,not rated,nil,Crime,7.4,nil,778
Canine Intervention,2021– ,TV-14,nil,"Documentary, Reality-TV",6.5,nil,777
 Castlevania,2017–2021,TV-MA,25 min,"Animation, Action, Adventure",8.4,nil,775
 Castlevania,2017–2021,TV-MA,26 min,"Animation, Action, Adventure",8.3,nil,775
Gwimul,2021– ,not rated,70 min,"Drama, Mystery, Thriller",8.2,nil,774
 The Rookie,2018– ,TV-14,nil,"Comedy, Crime, Drama",7.7,nil,769
Hige o Soru. Soshite Joshikousei o Hirou.,2021– ,not rated,23 min,"Animation, Comedy, Drama",7.9,nil,769
Power Play,2021,not rated,135 min,Thriller,7.3,nil,766
 American Gods,2017–2021,TV-MA,56 min,"Drama, Fantasy, Mystery",7.5,nil,766
 Line of Duty,2012– ,TV-14,58 min,"Crime, Drama, Mystery",8.3,nil,763
Zoya,2021,not rated,105 min,"Drama, War",3.8,nil,762
 The Blacklist,2013– ,TV-14,42 min,"Crime, Drama, Mystery",7.2,nil,761
 Batwoman,2019– ,TV-14,42 min,"Action, Adventure, Crime",5.6,nil,761
 Line of Duty,2012– ,TV-14,58 min,"Crime, Drama, Mystery",8.2,nil,759
 Night Stalker: The Hunt for a Serial Killer,2021,TV-MA,48 min,"Documentary, Crime, Mystery",7.6,nil,758
 The Stand,2020–2021,TV-MA,57 min,"Adventure, Drama, Fantasy",6.6,nil,757
As Luck Would Have It,2021 TV Movie,TV-G,86 min,"Drama, Romance",7.0,nil,755
 The Blacklist,2013– ,TV-14,42 min,"Crime, Drama, Mystery",8.7,nil,753
Creation Stories,2021,not rated,105 min,"Biography, Drama, Music",6.2,62        ,751
 Servant,2019– ,TV-MA,26 min,"Drama, Horror, Mystery",7.3,nil,751
 Debris,2021,TV-14,43 min,"Drama, Mystery, Sci-Fi",7.4,nil,747
Devarakondalo Vijay Premakatha,2021,not rated,nil,Drama,8.4,nil,746
 Lupin,2021– ,TV-MA,41 min,"Action, Crime, Drama",7.4,nil,744
 Riverdale,2017– ,TV-14,41 min,"Crime, Drama, Mystery",6.9,nil,743
 Sweet Tooth,2021– ,TV-14,nil,"Action, Adventure, Drama",8.5,nil,742
Dvorets dlya Putina. Istoriya samoy bolshoy vzyatki,2021,not rated,113 min,Documentary,8.9,nil,741
 The Blacklist,2013– ,TV-14,43 min,"Crime, Drama, Mystery",6.8,nil,739
Time to Dance,2021,not rated,113 min,"Musical, Romance",1.8,nil,737
Secret of the Ninth,2021,not rated,57 min,Documentary,9.2,nil,736
Kabadadaari,2021,Not Rated,146 min,"Crime, Drama, Thriller",6.5,nil,736
To Olivia,2021,not rated,99 min,Drama,6.5,nil,734
Animals on the Loose: A You vs. Wild Movie,2021 TV Movie,TV-PG,90 min,"Adventure, Reality-TV",5.9,nil,734
Kid Cosmic,2021– ,TV-Y7,25 min,"Animation, Action, Adventure",8.1,nil,731
 Inside No. 9,2014– ,TV-MA,nil,"Comedy, Drama, Horror",6.7,nil,731
 Sweet Tooth,2021– ,TV-14,nil,"Action, Adventure, Drama",8.0,nil,730
 The Stand,2020–2021,TV-MA,49 min,"Adventure, Drama, Fantasy",5.2,nil,729
 Line of Duty,2012– ,TV-14,57 min,"Crime, Drama, Mystery",8.4,nil,728
Janowar,2021,not rated,77 min,"Crime, Drama, Thriller",8.2,nil,728
When NEET aspirant met an IIT aspirant,2021,not rated,46 min,"Comedy, Romance",9.8,nil,727
 Boruto: Naruto Next Generations,2017– ,TV-14,24 min,"Animation, Action, Adventure",9.3,nil,727
That Damn Michael Che,2021– ,TV-MA,30 min,Comedy,7.5,nil,726
 Snowpiercer,2020– ,TV-MA,48 min,"Action, Drama, Sci-Fi",7.3,nil,726
Batya,2021,not rated,76 min,"Comedy, Drama",6.7,nil,722
Pørni,2021– ,not rated,nil,"Comedy, Drama",8.4,nil,722
Donny's Bar Mitzvah,2021,not rated,79 min,"Comedy, Drama",7.3,nil,721
Override,2021,TV-14,95 min,"Crime, Sci-Fi, Thriller",4.7,nil,720
 Black Clover,2017–2021,TV-PG,24 min,"Animation, Action, Adventure",9.4,nil,718
Ee Kathalo Paathralu Kalpitam,2021,not rated,119 min,"Drama, Thriller",7.1,nil,718
Newton's Cradle,2021– ,not rated,nil,"Drama, Thriller",8.4,nil,718
 This Is Us,2016–2022,TV-14,43 min,"Comedy, Drama, Romance",8.3,nil,716
 Them,2021– ,TV-14,49 min,"Drama, Horror, Thriller",7.9,nil,714
 Riverdale,2017– ,TV-14,42 min,"Crime, Drama, Mystery",5.8,nil,713
Arlo the Alligator Boy,2021 TV Movie,TV-Y7,90 min,"Animation, Adventure, Comedy",6.7,nil,713
Me You Madness,2021,R,98 min,Comedy,3.7,7        ,712
 The Serpent,2021,TV-MA,58 min,"Crime, Drama, Thriller",7.5,nil,712
 Grey's Anatomy,2005– ,TV-14,nil,"Drama, Romance",6.1,nil,711
 A Discovery of Witches,2018– ,TV-MA,nil,"Drama, Fantasy, Romance",8.0,nil,710
 The Blacklist,2013– ,TV-14,42 min,"Crime, Drama, Mystery",8.5,nil,709
Dead Places,2021– ,not rated,45 min,"Adventure, Horror, Thriller",6.8,nil,709
 Master of None,2015– ,TV-MA,52 min,"Comedy, Drama",6.8,nil,707
Hemingway,2021– ,TV-14,120 min,"Documentary, Biography",8.1,nil,707
 The Equalizer,2021– ,TV-14,44 min,"Action, Crime, Drama",6.2,nil,705
 For All Mankind,2019– ,TV-MA,56 min,"Drama, Sci-Fi",8.1,nil,705
 Master of None,2015– ,TV-MA,25 min,"Comedy, Drama",5.7,nil,704
Shook,2021,Not Rated,88 min,Horror,4.2,53        ,703
RuPaul's Drag Race Down Under,2021– ,TV-MA,54 min,"Game-Show, Reality-TV",5.6,nil,701
 Prodigal Son,2019–2021,TV-14,43 min,"Crime, Drama, Mystery",7.2,nil,701
 This Is Us,2016–2022,TV-14,43 min,"Comedy, Drama, Romance",8.5,nil,700
 The Serpent,2021,TV-MA,58 min,"Crime, Drama, Thriller",8.1,nil,700
 Beck,1997– ,Not Rated,nil,"Crime, Mystery, Thriller",5.5,nil,699
 Shameless,2011–2021,TV-MA,nil,"Comedy, Drama",8.9,nil,699
Trust,II 2021,not rated,94 min,"Drama, Romance",5.5,nil,698
 Boruto: Naruto Next Generations,2017– ,TV-14,24 min,"Animation, Action, Adventure",9.4,nil,698
 Night Stalker: The Hunt for a Serial Killer,2021,TV-MA,46 min,"Documentary, Crime, Mystery",7.7,nil,697
Viewpoint,2021– ,not rated,60 min,"Drama, Thriller",5.9,nil,697
 Lupin,2021– ,TV-MA,47 min,"Action, Crime, Drama",7.9,nil,696
 Snowpiercer,2020– ,TV-MA,47 min,"Action, Drama, Sci-Fi",7.3,nil,696
